model,tag,real_n,n_params,best_val_error,final_val_error,final_train_error
clip,clip_h128,0,74954,0.36387,0.38856,0.21795
clip,clip_h16,0,8482,0.51007,0.53606,0.62075
clip,clip_h256,0,166282,0.34048,0.34568,0.09524
clip,clip_h32,0,17210,0.43015,0.4373,0.41762
clip,clip_h512,0,398090,0.34763,0.35932,0.15039
clip,clip_h64,0,35434,0.39116,0.39831,0.30469
clip,clip_h8,0,4214,0.61404,0.61988,0.75597
dino,dino_h128,0,206026,0.27875,0.2872,0.11891
dino,dino_h16,0,24866,0.38921,0.40026,0.38706
dino,dino_h256,0,428426,0.28135,0.29175,0.07698
dino,dino_h32,0,49978,0.32164,0.33658,0.21668
dino,dino_h512,0,922378,0.25926,0.27355,0.07778
dino,dino_h64,0,100970,0.295,0.2963,0.09616
dino,dino_h8,0,12406,0.46979,0.48148,0.54779
